RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3043,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3238,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2851,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2690,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2543,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3134,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3352,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3015,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2432,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3212,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3835,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
6787,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2382,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2680,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1921,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3544,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3437,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2896,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2714,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2420,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3143,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3648,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
5611,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2265,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
1918,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4405,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3060,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2591,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4784,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
4737,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3932,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2570,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2660,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2972,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2592,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2553,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2480,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3383,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2091,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2421,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
3462,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
2017,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,59b7de7811212f0001cd0f55,"10/14/2022, 09:13:59"
