RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9114,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
31089,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3762,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7680,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4570,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5167,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5651,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5356,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3672,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
14629,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5321,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3134,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5091,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5965,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7678,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3482,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6535,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5624,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6852,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4971,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7103,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9632,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7003,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6749,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4716,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6273,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7336,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5473,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3672,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
8727,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
21332,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6134,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3247,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
25493,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3683,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
2910,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
10465,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4696,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9714,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4382,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3433,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4310,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6676,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3116,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3726,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4534,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
8395,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5629,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3962,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4201,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5513,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9191,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4899,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3233,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
12818,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4954,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5423,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
10477,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
10746,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6031,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
10746,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5980,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6970,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3226,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5435,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4989,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6501,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5050,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3735,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
2458,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
12154,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3082,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3278,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
2552,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4130,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
10308,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6265,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
8538,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3155,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
13117,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9613,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
13529,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6635,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
23776,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6514,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
15420,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7288,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3072,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4348,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
8461,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7578,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
10938,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
14047,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3778,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7759,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9179,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5586,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6676,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
2885,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4235,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9327,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
8716,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
13631,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3260,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7213,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3862,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3405,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4485,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7674,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5574,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3638,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
9457,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3951,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3124,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
4003,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
5921,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7566,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
7450,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
3559,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
6471,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62fb7a7eeb7b0eac232a7b7c,"10/14/2022, 09:26:53"
