RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2558,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2638,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2678,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2438,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2463,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3606,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2550,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2734,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
4067,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2190,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3622,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
1878,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
4767,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2558,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
5839,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2862,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
1871,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2614,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2063,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2437,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2231,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2254,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3502,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2519,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
7039,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
4333,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2207,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2438,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2209,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
