RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1782,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1648,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1848,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1684,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1833,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4041,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2707,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1673,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1492,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2361,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1575,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1598,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1742,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2006,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1937,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1967,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1719,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1568,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1687,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2149,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2483,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2413,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1681,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1650,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2027,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3825,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3044,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2064,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4048,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
5035,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2787,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2328,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1697,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2226,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2158,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1833,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2465,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1885,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1891,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2390,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1487,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2085,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3573,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2300,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2610,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1784,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2975,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2013,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1870,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2099,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2756,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1565,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2102,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3705,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2001,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3648,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2713,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2914,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1786,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1983,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1660,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1378,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1550,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1636,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2513,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1994,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2806,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1627,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2289,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2319,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1896,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3062,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1384,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1577,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2398,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2410,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2443,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1889,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
4814,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1560,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1925,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2318,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1491,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1592,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1536,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
3116,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2127,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2065,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1878,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2857,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
1686,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2182,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
2252,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5badf5bd0a2d4400010c683e,"10/14/2022, 09:10:23"
