RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
19582,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
22100,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1860,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3165,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4429,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2543,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5457,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5375,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4197,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4262,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2986,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2972,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2828,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
6917,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
6536,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3244,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2799,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3292,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2586,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
9291,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3759,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2901,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
6241,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2434,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4696,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4230,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2565,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3115,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5177,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2077,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2626,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2853,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
19005,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
7502,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3677,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
6299,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5959,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2395,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3308,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3245,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3190,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1947,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1986,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2325,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3019,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3593,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4879,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2909,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2391,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2353,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2740,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4086,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5270,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3476,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3567,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2339,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1720,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2443,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2227,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5278,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2554,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3950,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1709,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2093,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
12770,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2497,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2749,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5839,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3057,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
42593,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4817,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
21414,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2349,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2338,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2604,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2524,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2403,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3312,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2125,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2687,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2446,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2327,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2513,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5013,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
7443,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3074,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2554,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2362,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3532,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2244,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2717,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2133,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2172,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2785,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2604,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1823,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2660,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
5063,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2494,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2579,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2605,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
16601,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
62150,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4499,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1856,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2593,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
7882,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2169,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1851,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4460,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2884,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2074,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2132,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3237,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2709,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3411,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4461,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2811,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2093,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2141,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1704,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
1939,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
9400,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
3079,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
2362,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
4319,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,603fecc70e39191700a56900,"10/14/2022, 09:19:41"
