RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4183,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4405,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2912,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4428,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2567,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2453,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1995,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5125,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3058,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1980,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2354,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2656,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2179,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2333,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2571,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3649,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2014,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2228,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2421,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3054,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2116,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2201,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2032,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1864,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1997,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2291,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2324,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2179,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
1817,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2012,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2764,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
