RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9219,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
22681,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
12230,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7284,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7168,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5489,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4843,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5406,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9247,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9558,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
