RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
42240,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3350,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2517,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2890,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4838,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
6741,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4090,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2979,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5336,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
17064,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
