RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1296,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1061,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
962,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
974,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1165,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1194,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2937,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2202,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1347,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1520,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1618,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1622,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
648,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1389,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1858,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1107,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
14082,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1994,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1205,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1724,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1330,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1812,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1461,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
908,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1464,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1631,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1213,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1715,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
6792,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1320,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1837,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1497,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1493,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2177,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
7477,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1892,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1603,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2923,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1165,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
