RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3658,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5383,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3420,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
19782,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3674,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3960,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3648,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3664,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3595,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3442,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2727,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3726,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4625,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3547,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3355,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3813,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2916,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3745,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3355,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4642,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3075,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4159,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2972,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3719,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3235,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
7137,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3802,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5191,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3664,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3263,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2912,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2950,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
6404,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3687,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4665,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3051,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4487,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3049,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3973,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
23025,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3825,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4493,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2940,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2681,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5669,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3104,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3412,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4163,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5333,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2811,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2800,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2848,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2608,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4609,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3499,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
97813,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4496,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2810,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3002,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3381,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5135,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3990,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3011,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2923,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4673,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4867,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3844,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4425,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2755,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
6034,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3365,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4576,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3504,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3067,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2199,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2469,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2977,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
7997,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3295,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2688,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2522,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2592,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2846,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3287,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2794,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5014,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2880,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3189,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3107,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3407,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3483,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3034,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3652,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3510,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2884,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3647,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3454,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
5079,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4729,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2555,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4130,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2599,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2671,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3755,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3032,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2552,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
4452,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2792,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3298,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3575,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
56183,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2962,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2880,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2910,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3539,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3435,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2337,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
2500,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
3493,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6323441a11146d51c1d5874d,"10/17/2022, 09:26:54"
