RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
2808,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
6857,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
7813,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
2749,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
8788,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
19213,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5758,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
2335,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4401,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
49116,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3106,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
7913,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
10112,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
2164,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4619,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
6308,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
3088,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
