RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2767,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
28727,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3799,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5800,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3676,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4845,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3065,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
file,isFamiliar,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_Sajid_Javid(4).png,0,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_M_Peter_Kay(3).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_Gordon_Brown(19).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_F_Julie_Walters(20).png,0,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_M_Michael_McIntyr(8).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_F_Sarah_Millican(1).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_M_Russell_Howard(10).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_F_Jennifer_Saunders.png,0,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_nigel_farage(5).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_jeremy_corbyn(2).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_Tony_Blair.png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_M_Simon_Pegg(8).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_Michael_Gove(9).png,0,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_keir_starmer(6).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_F_nicola_sturge(10).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_M_david_camer(14).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_M_Jimmy_Carr(5).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
P_F_Theresa_May(3).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_M_Ewan_McGregor(3).png,0,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
E_F_Dawn_Roma(4).png,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
age: 29,gender: Male,handedness: right,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
