RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4436,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
5354,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3874,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4257,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3137,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3845,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3977,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2675,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2652,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2956,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
1998,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3931,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3836,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
1964,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2353,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3412,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2985,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3808,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2246,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2434,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3298,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4556,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2713,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2990,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
6455,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4938,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2699,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2854,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3197,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3107,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3125,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3903,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
11277,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3735,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3002,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2901,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2633,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2570,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4039,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3413,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4838,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3527,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3391,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3586,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3612,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2959,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3818,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
2843,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3136,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
4717,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
3543,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6346c4b13753efab830182aa,"10/14/2022, 09:16:16"
