RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1878,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2375,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4999,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
6511,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5199,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7615,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
13384,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
15631,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
6655,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4478,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7399,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2015,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2127,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1872,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2591,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2215,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2398,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1798,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2551,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1679,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2438,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1728,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1599,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
8167,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4352,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
6550,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2287,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1919,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1615,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4039,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1590,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7711,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2223,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1446,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2639,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1735,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2999,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1760,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3231,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3262,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
6391,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3503,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2112,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4551,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2174,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
8031,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1935,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1935,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4215,E_M_Russell_Howard(10).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1399,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7391,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4288,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3375,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2166,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2288,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3199,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2359,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5319,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2055,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4135,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3024,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7207,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1839,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2727,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4655,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
12000,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5495,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
6119,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
9975,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1952,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7704,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3062,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3000,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5151,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
9800,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3168,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3326,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7303,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3319,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
10847,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4968,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
14383,E_M_Michael_McIntyr(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7312,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
1894,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4767,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2071,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2023,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4407,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5759,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5846,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7263,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
11743,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
9375,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3408,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
9423,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4807,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4231,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7999,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
4263,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2719,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3783,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3128,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2230,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2152,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3823,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7424,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
3296,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2127,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
5127,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
2142,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
7783,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,58542426733c730001a5d1f4,"10/14/2022, 09:17:10"
