RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3290,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2075,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3332,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2367,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2362,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3740,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4048,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3650,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3676,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2543,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3709,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3771,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4419,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2635,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4011,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3721,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2579,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5708,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3630,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2289,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1772,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1731,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1976,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2157,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2053,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4627,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2225,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1736,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5344,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2166,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2807,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5459,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1778,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
6563,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
7638,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
6095,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3235,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3786,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2356,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5107,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2497,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4516,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4166,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4779,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4608,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
11629,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1555,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4522,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1922,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2489,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2154,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4816,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5311,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3949,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5057,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3788,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4396,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5858,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1933,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
12003,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2405,E_M_Ewan_McGregor(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
14732,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
6927,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3855,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3889,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4196,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4812,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2226,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4001,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3245,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
15225,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4457,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5035,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4371,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3658,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4145,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3835,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4656,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4124,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5812,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4946,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4538,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1386,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3654,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
4951,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1755,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2137,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5564,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2181,E_M_Simon_Pegg(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2120,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
5514,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2298,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3995,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1787,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
16705,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1522,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1611,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1841,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
1869,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2655,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
2428,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3517,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
3906,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c49e6d8d1150d0001e11a41,"10/14/2022, 09:16:28"
