RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
9209,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4422,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2140,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2976,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3349,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2343,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
8263,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2872,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1917,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1941,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2088,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3517,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
3342,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
4007,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1859,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2773,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2913,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2423,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
6875,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
2006,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
1818,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61588a883213fd00ccae7c21,"10/14/2022, 09:14:09"
