RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2790,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3067,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3478,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5777,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2545,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3072,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2097,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2122,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3697,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2693,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2197,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2056,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2481,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2102,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3621,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5236,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2462,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2249,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2583,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2185,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3667,E_M_Ewan_McGregor(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2099,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4501,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3493,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2026,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3384,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2176,E_F_Julie_Walters(20).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2375,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2675,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2565,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2364,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5581,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3192,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2730,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4879,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2972,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2395,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2270,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5742,E_F_Dawn_Roma(4).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2349,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4882,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3871,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2575,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3324,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5445,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2015,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4221,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2484,P_M_jeremy_corbyn(2).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3386,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2233,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4002,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2584,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2005,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5065,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
1959,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3004,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3326,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2819,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2590,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2442,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2027,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2293,E_F_Jennifer_Saunders.png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2179,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2006,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2994,E_F_Dawn_Roma(4).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2562,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2886,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2635,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2322,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2501,E_M_Simon_Pegg(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2949,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3859,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4119,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4393,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2485,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3961,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2387,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2252,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
4266,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2026,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
5567,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
1971,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
6612,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2302,E_F_Dawn_Roma(4).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3660,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2163,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3055,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3249,E_M_Russell_Howard(10).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2807,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3583,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2943,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
3064,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2323,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
1998,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2188,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2908,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
2090,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62b0c83610625fc32b89bc17,"10/14/2022, 09:14:08"
