RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5497,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4551,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1711,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6767,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5839,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3103,E_F_Jennifer_Saunders.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1695,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6406,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6693,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1133,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1260,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2930,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4302,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
7967,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4006,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4094,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5726,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2558,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3599,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3343,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2965,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
10387,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2606,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2874,E_M_Simon_Pegg.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2966,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6951,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2006,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5086,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4278,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5206,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1576,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2488,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4464,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1486,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3995,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1828,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1911,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3599,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
5862,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1767,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3612,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
3476,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
4178,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2253,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
6237,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
7397,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1768,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
2573,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
1527,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61fa908cd42cb19beec4916c,"07/06/2022, 19:01:32"
