RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
8640,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2376,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2392,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
7736,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3606,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2606,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3409,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
file,isFamiliar,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_david_camer.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_F_Theresa_May.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_F_Jennifer_Saunders.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_M_Michael_McIntyr.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_nigel_farage.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_M_Ewan_McGregor.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_keir_starmer.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_M_Jimmy_Carr.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_F_Sarah_Millican.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_Michael_Gove.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_Gordon_Brown.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_F_nicola_sturge.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_F_Dawn_Roma_French.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_M_Simon_Pegg.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_Tony_Blair.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_M_Russell_Howard.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_F_Julie_Walters.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_Sajid_Javid.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
P_M_jeremy_corbyn.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
E_M_Peter_Kay.png,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
age: 32,gender: Male,handedness: right,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
