RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2067,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2081,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2210,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2764,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2016,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2554,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2056,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1959,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3991,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2025,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2601,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2779,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
1899,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2176,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3198,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3419,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2913,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2503,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2161,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2412,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3267,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2802,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2574,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2581,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
18433,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2057,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
2376,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3680,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
3419,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
4780,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e81ad7cb706bb88bc5c2fc8,"07/06/2022, 18:57:01"
