RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2167,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1750,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2247,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2608,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2743,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2167,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3894,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3918,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2591,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3045,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3170,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
4710,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2073,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2270,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
3328,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2588,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2000,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2487,P_F_Theresa_May.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2818,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2085,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2035,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2044,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2671,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
1723,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2040,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2374,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2455,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
2791,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b979717ef16e40001c09329,"07/06/2022, 18:52:57"
