RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4047,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2920,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3323,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4984,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4693,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2741,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5340,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2897,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2476,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2999,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3597,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3194,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3065,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3490,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5414,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2422,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3061,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3817,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4648,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2812,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3340,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4558,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3221,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
8007,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2772,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2459,E_F_Dawn_Roma_French.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4559,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5314,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6071,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3383,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2862,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4614,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3808,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6373,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4891,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
8000,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3108,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4056,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3528,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3111,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3521,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6123,E_M_Ewan_McGregor.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4954,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5765,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5653,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3580,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6434,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5011,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5920,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5924,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4498,P_M_jeremy_corbyn.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6213,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5512,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6203,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3376,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3715,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4753,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3832,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6163,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4816,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
8408,P_M_Gordon_Brown.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4350,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4804,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6912,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2926,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6598,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3600,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3020,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5618,E_F_Sarah_Millican.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6792,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
18820,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
6359,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2709,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5738,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3606,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
2735,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3442,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5203,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
7791,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
9235,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
