RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2492,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4304,E_M_Michael_McIntyr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3773,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2848,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2777,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2545,E_F_Julie_Walters.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3925,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3830,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3335,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3682,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3252,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4197,E_M_Michael_McIntyr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
5539,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4024,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2736,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3195,E_M_Michael_McIntyr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2401,E_F_Jennifer_Saunders.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4336,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2594,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3042,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3457,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3357,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2515,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2713,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2851,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3203,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3506,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2618,E_F_Dawn_Roma_French.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
2520,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
3269,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
4930,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5703b0cbd4cf7f000d94ec57,"07/06/2022, 19:20:12"
