"","E_F_galit_gutman.png","E_F_ilanit.png","E_F_ninet.png","E_F_rotem_sela.png","E_F_shiri.png","E_M_asi.png","E_M_danker.png","E_M_ido.png","E_M_liorA.png","E_M_yuda.png","P_F_michaeli.png","P_F_regev.png","P_F_shaked.png","P_F_staiv.png","P_M_benet.png","P_M_buji.png","P_M_gantz.png","P_M_lapid.png","P_M_saar.png","P_M_smut.png"
"P_F_michaeli.png",4,4.05555555555556,3.88888888888889,3.41176470588235,3.82352941176471,3.78947368421053,3.57894736842105,3.73684210526316,5,4.41176470588235,NA,3.89473684210526,3.78947368421053,4.47368421052632,5.10526315789474,5,5.41176470588235,5.33333333333333,4.15789473684211,5
"P_F_regev.png",4.84210526315789,4,2.72222222222222,3.58823529411765,3.88235294117647,4.84210526315789,4.78947368421053,5.10526315789474,5.1875,4.82352941176471,3.89473684210526,NA,2.57894736842105,3.94736842105263,5.05263157894737,4.94736842105263,5.47058823529412,5.46666666666667,4.89473684210526,4.35294117647059
"P_F_shaked.png",4.63157894736842,3.55555555555556,2.77777777777778,3.11764705882353,3.88235294117647,4.84210526315789,5,4.89473684210526,5.3125,4.70588235294118,3.78947368421053,2.57894736842105,NA,3.36842105263158,4.84210526315789,5.42105263157895,5.35294117647059,5.66666666666667,4.94736842105263,4.94117647058824
"P_F_staiv.png",4.36842105263158,4.05555555555556,4.88888888888889,3.64705882352941,4.35294117647059,4.84210526315789,5.15789473684211,5.26315789473684,5.25,5.17647058823529,4.47368421052632,3.94736842105263,3.36842105263158,NA,5,4.89473684210526,5.35294117647059,5.66666666666667,5.36842105263158,5.11764705882353
"P_M_benet.png",5.36842105263158,4.61111111111111,5.5,4.82352941176471,5.11764705882353,4.36842105263158,4.89473684210526,4.89473684210526,4.9375,4.76470588235294,5.10526315789474,5.05263157894737,4.84210526315789,5,NA,4.47368421052632,4.17647058823529,4.4,3.89473684210526,4.52941176470588
"P_M_buji.png",5.42105263157895,5.27777777777778,5.44444444444444,5.41176470588235,5.47058823529412,4.05263157894737,4.15789473684211,5.15789473684211,3.6875,3.82352941176471,5,4.94736842105263,5.42105263157895,4.89473684210526,4.47368421052632,NA,3.58823529411765,4.46666666666667,2.73684210526316,4.47058823529412
"P_M_gantz.png",5.41176470588235,5,5.17647058823529,5.1875,5.26666666666667,4.64705882352941,5.11764705882353,4.64705882352941,4,4.66666666666667,5.41176470588235,5.47058823529412,5.35294117647059,5.35294117647059,4.17647058823529,3.58823529411765,NA,3.86666666666667,3.94117647058824,5.1875
"P_M_lapid.png",5.6,5.28571428571429,5.66666666666667,5.64285714285714,4.84615384615385,4.4,4.26666666666667,4.66666666666667,3.85714285714286,4.42857142857143,5.33333333333333,5.46666666666667,5.66666666666667,5.66666666666667,4.4,4.46666666666667,3.86666666666667,NA,4.06666666666667,4.64285714285714
"P_M_saar.png",5.52631578947368,4.66666666666667,5.27777777777778,5,4.82352941176471,3.94736842105263,4.15789473684211,4.26315789473684,4.375,4.47058823529412,4.15789473684211,4.89473684210526,4.94736842105263,5.36842105263158,3.89473684210526,2.73684210526316,3.94117647058824,4.06666666666667,NA,4.52941176470588
"P_M_smut.png",5.35294117647059,5.35294117647059,5.17647058823529,5.1875,4.75,4.58823529411765,3.29411764705882,4.23529411764706,4.07142857142857,3.2,5,4.35294117647059,4.94117647058824,5.11764705882353,4.52941176470588,4.47058823529412,5.1875,4.64285714285714,4.52941176470588,NA
