"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"2747","P_M_benet.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",3,"P_M_benet.png P_M_saar.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2214","E_F_shiri.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",2,"E_F_shiri.png P_F_shaked.png",-1.62350330955462,"25","Female","right","5e36f7aacb3c09689999f612"
"2511","P_F_staiv.png","P_M_gantz.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",3,"P_F_staiv.png P_M_gantz.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2581","E_M_danker.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_danker.png P_F_staiv.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2781","P_F_michaeli.png","P_F_staiv.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",4,"P_F_michaeli.png P_F_staiv.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2110","E_F_ninet.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_ninet.png P_M_saar.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2046","E_M_danker.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_danker.png P_F_michaeli.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"1395","E_F_galit_gutman.png","E_F_ninet.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",5,"E_F_galit_gutman.png E_F_ninet.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"1510","E_M_danker.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"E_M_danker.png P_M_gantz.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"1115","E_M_asi.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_asi.png P_F_regev.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2048","E_M_ido.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_ido.png P_F_staiv.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2214","E_M_liorA.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"E_M_liorA.png P_M_saar.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"1643","E_M_yuda.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_yuda.png P_M_saar.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"1431","E_F_galit_gutman.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_galit_gutman.png P_M_gantz.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"3632","E_M_yuda.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",3,"E_M_yuda.png P_F_michaeli.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"2181","E_M_asi.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_asi.png P_F_shaked.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"2293","E_F_rotem_sela.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",4,"E_F_rotem_sela.png P_M_benet.png",0.0807266839005056,"25","Female","right","5e36f7aacb3c09689999f612"
"2043","P_F_michaeli.png","P_M_buji.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",5,"P_F_michaeli.png P_M_buji.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
"3513","E_M_asi.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",3,"E_M_asi.png P_M_benet.png",-0.771388312827055,"25","Female","right","5e36f7aacb3c09689999f612"
"112397","E_F_shiri.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",5,"E_F_shiri.png P_M_benet.png",0.932841680628066,"25","Female","right","5e36f7aacb3c09689999f612"
