RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
8081,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4029,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4964,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3135,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3036,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3474,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4448,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
14119,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2856,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2974,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1892,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2084,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1965,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1998,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2852,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2010,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1672,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1738,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3143,Entertainment_mushonov.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3002,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
5410,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
6428,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2520,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2129,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1642,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
30912,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3793,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2928,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
7316,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3250,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2175,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2909,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1805,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1603,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2053,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1843,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2461,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2265,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2391,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1882,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3294,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2065,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2640,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1896,Politics_benet.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2262,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3385,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2192,E_guri2-250x310.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3686,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3381,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2434,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1683,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1503,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2654,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2237,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1853,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1578,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1388,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4961,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1387,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1691,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1892,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2560,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1980,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1825,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2624,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4348,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1810,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3753,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2648,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
8064,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2369,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2370,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3066,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2551,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4295,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3299,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4617,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
8657,Entertainment_HassonShaher.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1453,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
12462,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
8854,Entertainment_har_lev.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2083,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2212,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1678,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
5806,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2034,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2468,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2759,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2326,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
9045,Entertainment_ornaBanai.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
28465,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1864,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
6783,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
14959,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3184,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1746,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2170,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2334,Entertainment_Ivri2.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1632,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3351,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3532,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3072,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2774,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2661,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1829,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3485,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
6496,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1734,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2713,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3550,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
6772,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3488,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2961,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2919,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2626,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1764,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1659,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4114,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
6232,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2939,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4261,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
59829,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1847,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2502,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2232,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
1761,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2231,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2322,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3802,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2747,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2790,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2415,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
3024,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
2937,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
4608,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60f87e327aca02edda8c4988,"08/07/2022, 19:20:10"
