RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1928,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1271,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1711,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2574,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1800,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1934,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2088,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1663,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1368,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1687,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1176,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
856,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
867,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
904,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1984,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2117,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
2143,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1983,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
1912,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d70443e6f0a380017545335,"06/19/2022, 14:41:33"
