RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6257,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4082,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8128,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
7047,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4668,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6867,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5801,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8916,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6764,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4977,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6767,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5336,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
12213,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
9669,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4205,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
8200,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5532,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4287,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
5434,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6621,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4473,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4519,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
6884,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4634,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
4254,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
10662,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
52557,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
13263,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
7042,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f1daf67e539fb6e9a42f300,"06/19/2022, 14:52:12"
