RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2389,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
71275,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
102990,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2919,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3738,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2391,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3153,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2526,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2922,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
2526,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
3120,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5eecfb52b01a670f1e74252b,"06/19/2022, 15:09:16"
