RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6640,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
8683,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5166,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4579,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4779,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4073,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3842,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3591,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4776,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7516,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4445,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7045,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4264,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5306,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6568,Politics_peretz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6679,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5178,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4959,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3639,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3881,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
9155,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3614,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3902,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3225,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4125,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4292,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
2887,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4668,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4978,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6011,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5200,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3353,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5135,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6326,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4867,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6265,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3457,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4167,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5879,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4384,Entertainment_Ivri2.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6195,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4738,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3890,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5680,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7743,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4588,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7838,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4865,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4800,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6567,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4123,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5294,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
8822,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
10776,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3257,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3986,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3842,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5118,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3009,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
6440,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
5261,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
7203,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3118,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4893,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3627,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3769,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4775,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3728,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3094,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3484,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3069,Entertainment_shani.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
4676,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3814,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
3645,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ef24f45ba594791fb6cb88d,"06/19/2022, 14:51:51"
