RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
797,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2236,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
13756,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2597,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
6559,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3636,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2137,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3132,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3423,Entertainment_rita.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
1693,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2388,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
15627,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
8233,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
2096,Entertainment_shani.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
4823,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
10616,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
3215,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
10472,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
6169,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,6034faf84f3fe87047c6d857,"06/19/2022, 14:43:28"
