RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3320,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
7151,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5585,Entertainment_yanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3742,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
6157,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3857,E_guri2-250x310.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4004,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4064,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4648,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4042,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4436,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
6407,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3314,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3522,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3627,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4280,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5892,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4258,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3959,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3182,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3207,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3008,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4519,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3124,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5611,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2764,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4522,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4994,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5087,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5791,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5133,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3599,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3829,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4629,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3724,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
4531,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
3664,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
5271,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
6306,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
2876,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5dcffe19c23e0d0f728c647a,"06/19/2022, 14:44:04"
