RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2992,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
6683,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3929,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2556,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1885,Politics_benet.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2999,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1851,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1634,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1846,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1523,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1498,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1653,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2093,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2999,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1982,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3747,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2142,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2074,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1577,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2762,Entertainment_Ivri2.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1788,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1877,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2056,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1813,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1868,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2192,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2665,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2539,E_katorza2-250x341.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1936,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1665,Politics_lapid.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2478,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1968,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1773,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2578,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
4095,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1656,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1572,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1997,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2095,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2130,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2173,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1993,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2832,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2306,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2375,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2261,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1646,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1840,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2147,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1852,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2179,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2025,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2348,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2155,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1860,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1738,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2528,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1992,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1895,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2034,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1328,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2127,Entertainment_shani.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1861,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2022,Entertainment_shimi.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1870,Entertainment_mushonov.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
3758,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1392,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1704,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1485,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1717,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1910,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1535,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1699,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
1736,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2435,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
4334,Entertainment_shani.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
2303,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,613a4bd540839f21d8f12e99,"06/20/2022, 08:08:39"
