RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4677,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3378,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3796,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4341,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3551,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3055,Politics_peretz.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3230,Entertainment_shimi.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4058,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2724,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3469,Entertainment_mushonov.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3919,Entertainment_yanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4426,E_katorza2-250x341.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3797,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3203,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3141,Entertainment_HassonShaher.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2713,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3680,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4251,Entertainment_shani.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5138,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3987,E_katorza2-250x341.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3984,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3963,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3627,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3354,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3527,Entertainment_Ivri2.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3645,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3512,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3261,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
6146,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3370,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3644,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3905,Entertainment_yanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3757,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2954,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3627,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4694,Entertainment_mushonov.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4494,Politics_benet.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2597,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3978,Politics_liberman2.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
6878,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2985,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2676,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2868,Entertainment_Ivri2.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3571,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3728,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3966,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4071,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3366,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3288,Entertainment_HassonShaher.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3615,Entertainment_shimi.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5407,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3527,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3243,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3760,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3929,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3474,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4463,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4690,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3552,Entertainment_har_lev.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3418,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3803,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
11326,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4090,Politics_smootch.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3040,Politics_liberman2.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2826,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3746,E_guri2-250x310.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
6762,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2694,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
9054,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4905,Entertainment_har_lev.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3008,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3828,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
5252,Politics_shaked.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4456,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
6785,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4225,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3184,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3443,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3370,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3373,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3100,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3914,E_katorza2-250x341.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2767,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3903,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3489,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3219,E_guri2-250x310.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2414,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4327,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3235,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3044,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3338,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4503,Entertainment_har_lev.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4239,Entertainment_ornaBanai.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
6521,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4818,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4547,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3379,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3320,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3158,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3149,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3727,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3210,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3425,Politics_benet.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2910,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4065,Entertainment_ornaBanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3919,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3784,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2378,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2866,Entertainment_HassonShaher.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3540,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3242,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4065,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3726,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2809,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4714,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2590,E_guri2-250x310.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3479,Entertainment_rita.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3191,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3267,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4009,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
4716,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
2574,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
3524,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b244233a7cee100011d6924,"06/19/2022, 14:57:28"
