RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2320,Entertainment_yanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2457,E_guri2-250x310.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
12893,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2437,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
6822,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1850,E_katorza2-250x341.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3467,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2206,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1690,Entertainment_rita.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2169,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1702,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3528,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4014,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2065,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2025,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3015,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1473,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1918,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1602,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2648,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3544,Entertainment_shimi.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4598,Entertainment_shani.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2945,E_guri2-250x310.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4061,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4126,Entertainment_rita.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2849,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
1608,Entertainment_shimi.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2704,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4357,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2551,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
4682,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3778,Entertainment_mushonov.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3236,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2966,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2474,Politics_benet.jpg,Politics_liberman2.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2191,Entertainment_shani.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2720,Entertainment_har_lev.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2623,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2820,Politics_shaked.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
3834,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2981,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2190,E_katorza2-250x341.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
2740,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b73e17f1f4c3c0001516dd7,"06/19/2022, 14:49:16"
