RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
6973,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2555,Entertainment_ornaBanai.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2426,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2755,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2817,Entertainment_HassonShaher.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2518,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2257,Entertainment_mushonov.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2832,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2497,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
2601,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60da14ab20b4f307aab0ecde,"06/19/2022, 11:04:44"
