RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2592,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3512,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2911,Entertainment_har_lev.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5318,Politics_benet.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3105,Entertainment_shani.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3019,E_guri2-250x310.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3630,Entertainment_HassonShaher.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5182,Entertainment_mushonov.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3175,E_guri2-250x310.jpg,E_katorza2-250x341.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2339,Politics_michaeliM.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4520,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5019,Entertainment_rita.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3232,E_katorza2-250x341.jpg,Entertainment_har_lev.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2915,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5738,Entertainment_Ivri2.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,1,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3804,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3391,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4281,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3845,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3371,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
3373,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
2643,E_guri2-250x310.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4185,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
5085,E_guri2-250x310.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
4740,Entertainment_yanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f8ef1efed20570b76a8de8c,"06/19/2022, 14:45:16"
