RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2515,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2505,Entertainment_rita.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2957,E_guri2-250x310.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4523,Entertainment_ornaBanai.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3278,Entertainment_yanai.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2505,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2636,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
4037,Entertainment_shimi.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3035,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2912,Entertainment_HassonShaher.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
3267,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2586,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2565,Politics_lapid.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2853,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2977,Entertainment_har_lev.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
2375,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cc39aa64d7a7f0001817c43,"06/19/2022, 14:41:58"
