RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2601,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2432,E_katorza2-250x341.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2119,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3039,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3264,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1443,Politics_yehimovitz.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3069,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3563,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2803,Entertainment_HassonShaher.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2829,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2241,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1985,E_katorza2-250x341.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2787,Entertainment_har_lev.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2990,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2940,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3920,E_guri2-250x310.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2724,Politics_peretz.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2848,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1921,Entertainment_har_lev.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2112,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2780,Entertainment_rita.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2329,E_guri2-250x310.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2810,Politics_liberman2.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1945,Politics_michaeliM.jpg,Politics_shaked.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1873,Entertainment_rita.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2515,Politics_michaeliM.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1765,Entertainment_har_lev.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1709,Entertainment_har_lev.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1895,Politics_lapid.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2975,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3091,Entertainment_har_lev.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2172,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1775,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1648,E_guri2-250x310.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3176,E_katorza2-250x341.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2047,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2297,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1662,E_katorza2-250x341.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1725,Entertainment_ornaBanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1550,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2040,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1916,Entertainment_shani.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1819,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1684,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1899,Entertainment_ornaBanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2189,Entertainment_ornaBanai.jpg,Entertainment_rita.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1703,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1523,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1381,Politics_lapid.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2612,E_katorza2-250x341.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1418,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1630,Entertainment_mushonov.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2224,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2165,Entertainment_rita.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2259,Entertainment_rita.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1777,Politics_benet.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1694,E_katorza2-250x341.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2271,E_katorza2-250x341.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
2801,Entertainment_HassonShaher.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1879,E_katorza2-250x341.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
3315,Entertainment_yanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
1960,Entertainment_mushonov.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
6471,Politics_liberman2.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5cdf33619e96db0015aec6a6,"06/19/2022, 14:34:14"
