RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2421,Entertainment_yanai.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3155,Entertainment_ornaBanai.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2497,E_katorza2-250x341.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3831,Entertainment_HassonShaher.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
2189,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3669,Entertainment_har_lev.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3066,Entertainment_mushonov.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3315,Politics_smootch.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
5303,Entertainment_HassonShaher.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
6720,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
3814,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
17720,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,3,5f12e7d0bf131c29242ea7a2,"06/19/2022, 14:44:33"
