RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3304,E_katorza2-250x341.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2556,Politics_lapid.jpg,Politics_michaeliM.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3031,Entertainment_shimi.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2716,E_guri2-250x310.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2147,Entertainment_mushonov.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2828,Entertainment_har_lev.jpg,Entertainment_HassonShaher.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3469,Entertainment_har_lev.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3996,Entertainment_ornaBanai.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3145,Entertainment_HassonShaher.jpg,Entertainment_Ivri2.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3582,Entertainment_mushonov.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2792,Politics_peretz.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2083,Entertainment_rita.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
1710,Entertainment_mushonov.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
2214,Entertainment_HassonShaher.jpg,Entertainment_mushonov.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3618,Entertainment_Ivri2.jpg,Politics_liberman2.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3846,Entertainment_har_lev.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3087,Entertainment_Ivri2.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
7355,Entertainment_Ivri2.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
3339,Entertainment_Ivri2.jpg,Politics_lapid.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
9513,Entertainment_shani.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
7277,Entertainment_shani.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5eaac1b48d712102356b170f,"08/07/2022, 18:33:19"
