RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4716,E_katorza2-250x341.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5112,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
8715,Politics_shaked.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5740,Entertainment_rita.jpg,Entertainment_shani.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
4378,Entertainment_Ivri2.jpg,Entertainment_ornaBanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3374,Entertainment_mushonov.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
3919,Entertainment_shimi.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
8986,E_guri2-250x310.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,5,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
8215,Entertainment_HassonShaher.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
5059,Entertainment_ornaBanai.jpg,Entertainment_shimi.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f3059fc3b12674b7a637b97,"06/19/2022, 14:50:18"
