RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
958,Entertainment_har_lev.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
946,Politics_liberman2.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
995,Politics_lapid.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
971,Politics_benet.jpg,Politics_lapid.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
929,Entertainment_Ivri2.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1094,Entertainment_Ivri2.jpg,Politics_shaked.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1115,Politics_michaeliM.jpg,Politics_zamir.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1249,Entertainment_shimi.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
5298,Politics_lapid.jpg,Politics_peretz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1738,Entertainment_ornaBanai.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
5179,Entertainment_HassonShaher.jpg,Politics_zamir.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2004,E_guri2-250x310.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
941,Entertainment_yanai.jpg,Politics_michaeliM.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1129,Politics_michaeliM.jpg,Politics_smootch.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1094,Entertainment_Ivri2.jpg,Politics_peretz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1842,Entertainment_HassonShaher.jpg,Politics_yehimovitz.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2043,Entertainment_Ivri2.jpg,Entertainment_yanai.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2975,E_guri2-250x310.jpg,Politics_smootch.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
2226,Entertainment_ornaBanai.jpg,Politics_benet.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
1145,Politics_liberman2.jpg,Politics_yehimovitz.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,F,6,5d88884b6ad33a00187854e7,"06/19/2022, 14:42:25"
