RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3248,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4259,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3753,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3042,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5866,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3083,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5401,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3682,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3305,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3511,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2775,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3393,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5647,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3040,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3267,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3099,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3678,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5132,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4049,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3431,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4343,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3520,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
7404,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2805,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3209,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3929,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
6249,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
9864,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4635,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
15932,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
7363,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3460,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3443,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
14464,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3403,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
9862,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3033,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5834,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3256,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3733,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
5465,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3392,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2963,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3422,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2897,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2463,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3219,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3891,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3335,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3637,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3639,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3431,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3432,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3604,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3040,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2974,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
2716,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
4030,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3388,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3246,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
3961,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5950fb26ad2ce90001b87bc4,"05/04/2022, 10:40:21"
