RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4431,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4903,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3011,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5834,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
5785,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3882,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2628,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
10046,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2967,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3960,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4190,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
11045,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
6224,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3374,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3156,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3225,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2939,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3641,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2433,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2479,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3275,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3322,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3008,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3094,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3922,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4109,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4125,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3276,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2822,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3524,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
3177,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
2389,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
10241,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4257,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
4894,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c8be5cfd3f851000112b0d2,"05/04/2022, 10:16:23"
