RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
25853,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3835,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8185,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3237,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3374,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3345,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9919,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
10706,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7689,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
2950,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5823,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
50703,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3358,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5591,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6904,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4635,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4171,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4213,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
11004,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3112,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5094,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7992,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4139,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4065,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
252685,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
23631,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
2783,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3945,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7997,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3695,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3643,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
31363,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3825,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5793,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8266,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
149180,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6509,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5834,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4465,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
29626,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4039,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6934,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
12009,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6053,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4341,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
42232,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9867,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6511,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4446,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
12242,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
11782,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
29245,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4385,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6219,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4495,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5977,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
11625,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3948,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
20075,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5251,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
2885,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
145580,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6416,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5635,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4082,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4581,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4339,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4686,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
55548,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
130870,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
45741,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3913,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
44469,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5603,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9684,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6761,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5188,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
44067,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4266,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
48977,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
15866,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
4435,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
96770,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3729,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
28931,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7244,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8171,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
89894,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
2884,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9093,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8564,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
15164,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8905,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
10209,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6760,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5532,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6129,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8932,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
11670,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
5558,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6933,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7419,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3949,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6808,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
16286,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
34508,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
16930,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6156,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8958,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
6392,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
9668,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
8425,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
17200,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
49111,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
7937,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3186,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
3725,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61486ad7059377d6f08fd91c,"05/04/2022, 11:30:49"
