RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1952,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3299,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2453,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2746,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3208,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1910,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4322,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2159,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2927,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2525,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3578,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2250,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2891,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2684,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2273,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1860,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2462,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1830,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3199,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2335,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3477,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2663,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1350,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1532,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2890,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1850,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2965,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2766,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4805,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3336,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2297,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2407,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2311,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4300,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2269,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2711,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3098,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2626,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2448,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
5629,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3088,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3992,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2871,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
6360,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2760,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2933,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2893,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2617,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4480,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2617,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2621,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1993,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2805,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3139,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2014,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3066,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2914,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2756,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3423,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3760,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2822,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3441,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3409,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3289,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3115,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3951,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2439,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2029,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2637,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2783,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4221,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2791,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
6825,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2642,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3505,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
15953,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
5040,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3261,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2620,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2312,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3236,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2589,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2379,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1687,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
5486,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
7446,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3125,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3017,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
15193,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2619,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2534,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3148,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
23402,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2778,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
5151,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2750,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
5112,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2790,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3514,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2572,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3151,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2622,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2821,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2363,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4812,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2257,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3699,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4086,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4805,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2881,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2975,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4911,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3525,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
14251,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2762,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2603,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
1919,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2230,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2432,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2255,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2131,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2943,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2341,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2787,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3879,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4808,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2406,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3739,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3341,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2786,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2534,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2520,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2831,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3345,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2215,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3644,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
4665,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
2538,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
3002,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,604249b06f34b50af5338558,"05/04/2022, 10:31:29"
