RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4132,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2782,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2082,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1816,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1998,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3435,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4398,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2649,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2696,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1750,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1732,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2149,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2783,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3224,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2524,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2598,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2182,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2067,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3515,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1700,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1750,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2480,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2700,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2299,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3017,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2131,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3351,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2882,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1898,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1950,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1866,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2133,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1703,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1722,E_F_keira_knightley.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3332,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2233,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1883,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2450,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3733,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3132,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2050,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1850,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1779,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1933,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3033,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2298,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1966,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2850,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3300,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1783,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1898,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2149,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2583,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1780,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2733,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2065,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2017,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3213,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2916,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3232,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3549,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2983,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2452,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4596,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3383,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3368,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2413,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2449,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3251,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
6898,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3367,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2765,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4199,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4932,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2149,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2550,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2665,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3132,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2750,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2498,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3333,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3683,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2449,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2000,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2581,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1949,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3333,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3597,E_F_angelina_jolie.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2167,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2498,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2134,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3901,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4779,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1936,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2379,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2283,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1899,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1867,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2548,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2632,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2152,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3095,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3466,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3082,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2282,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2566,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2699,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1966,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1716,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3731,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
1884,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3483,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3816,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2200,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
4131,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3183,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3016,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2449,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3448,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
3249,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
2501,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,571b3de05d40840013c49f3a,"05/04/2022, 10:14:16"
