RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4274,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5353,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10032,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4123,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6837,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5457,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5818,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7303,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5193,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8772,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4224,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7071,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9270,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10882,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6446,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4014,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8051,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
12523,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5537,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
16969,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3647,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9109,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4772,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6773,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3838,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4791,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5122,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5385,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10625,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6490,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8208,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5380,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
10369,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5050,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5896,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
11349,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7115,P_F_nicola_sturgeon.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5904,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
5349,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3969,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
18944,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
22262,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
7521,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6305,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8655,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
11718,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6098,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
