RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1976,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1919,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2687,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3879,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1726,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1983,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2687,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2631,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2279,E_M_Hugh_Grant.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1856,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1760,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2183,E_F_jennifer_aniston.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1495,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2008,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2904,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1895,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2743,E_F_sandra_bullock.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2008,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1967,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1744,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2112,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
