RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2385,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2250,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2793,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2454,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2292,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2918,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
1971,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
3487,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2722,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
2603,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e767c26e8230d1f2008f024,"05/04/2022, 10:40:15"
