RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
8954,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4831,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5010,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4044,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5837,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3914,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3836,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4313,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4152,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5390,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5365,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4891,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6028,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4327,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3789,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3897,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3879,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5005,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3883,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4240,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3574,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6197,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6484,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4449,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4694,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5058,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4024,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
