RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1968,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3064,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2805,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2513,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2504,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3936,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3806,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2373,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2605,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3388,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
