RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
61851,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
8166,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5560,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
14822,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
11446,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
28546,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3302,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
9239,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
15845,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5580,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2260,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4860,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4162,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3424,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
8759,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
10381,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4264,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4076,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3342,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
29486,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
72537,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2459,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
1480,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2761,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3160,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4859,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
21845,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
8241,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3920,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3680,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2680,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5763,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
6521,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5580,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
8844,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
8504,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2100,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
24924,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
22804,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
11174,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
11462,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4901,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2200,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2022,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3260,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4260,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3260,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4940,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5460,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2039,E_M_nicolas_cage.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
7861,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5041,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3640,E_F_Judi_Dench.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2599,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5785,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5076,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2418,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3302,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4501,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
1943,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2016,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2283,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2340,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4402,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2419,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2403,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
6100,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2341,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2319,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2758,P_F_hillary_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4400,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
11944,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
2200,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
7540,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
3800,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
5876,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
4844,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b4b679dff74970001256d36,"05/04/2022, 10:37:23"
