RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3585,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2485,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1845,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2226,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4818,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2136,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2974,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1933,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2064,E_F_sandra_bullock.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2598,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
6096,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3236,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2090,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2224,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2678,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1969,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2427,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
7148,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2116,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2137,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2808,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3948,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2130,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2588,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
