RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_nigel_farage.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_M_Michael_McIntyr.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_F_Sarah_Millican.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_F_nicola_sturge.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_M_Simon_Pegg.png,0,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_Sajid_Javid.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_F_Theresa_May.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_jeremy_corbyn.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_Michael_Gove.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_keir_starmer.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_M_Peter_Kay.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_M_Ewan_McGregor.png,0,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
E_F_Julie_Walters.png,0,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
P_M_david_camer.png,1,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
age: 26,gender: Female,handedness: right,5e9d937b3d93b107409ebfc1,"07/06/2022, 17:30:05"
