RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2822,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
4968,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
6058,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1878,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
8602,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3247,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2649,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1979,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2334,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2078,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2320,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1863,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1815,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2555,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1823,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
1939,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2644,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
3259,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
2315,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5720004a4212270008a3933b,"07/06/2022, 17:22:11"
