RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3487,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2788,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3205,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4668,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3445,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2934,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2906,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2887,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
5851,P_F_Theresa_May.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3306,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4424,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2856,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2396,P_F_nicola_sturge.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2825,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2596,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3476,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3066,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2853,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
5374,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2645,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
4865,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
2742,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
3166,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fd76b7d246a3705a25c9a94,"07/06/2022, 17:23:35"
