RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2866,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2084,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3106,E_M_Russell_Howard.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2843,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1994,E_M_Peter_Kay.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2103,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1821,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1938,E_M_Peter_Kay.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2325,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2859,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1512,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2638,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1578,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3420,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1582,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1362,P_F_nicola_sturge.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2235,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
213018,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1679,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2393,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3036,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3921,P_M_keir_starmer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2604,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1940,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2567,E_M_Simon_Pegg.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2436,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2019,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1842,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1878,E_M_Jimmy_Carr.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1241,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1903,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2387,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5572,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
31593,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3920,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1939,E_M_Russell_Howard.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3124,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2651,E_F_Jennifer_Saunders.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
254470,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1538,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1518,E_M_Russell_Howard.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1775,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3345,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3222,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1818,E_M_Peter_Kay.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1887,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4556,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
11471,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
6194,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
7678,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1814,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2627,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3080,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3200,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1782,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4778,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5231,E_F_Julie_Walters.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
28180,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2191,E_F_Dawn_Roma_French.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
7405,P_M_Gordon_Brown.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1902,E_F_Dawn_Roma_French.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1530,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
17751,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1674,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1748,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1633,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1447,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1993,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2148,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1221,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4706,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
7704,E_M_Jimmy_Carr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1874,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
4950,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1406,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1557,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1294,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2350,E_M_Peter_Kay.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
9429,E_M_Peter_Kay.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1850,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1454,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1749,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1017,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1831,E_M_Michael_McIntyr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1581,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1518,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1994,P_M_david_camer.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1454,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1362,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2042,E_F_Sarah_Millican.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
5054,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
3476,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2996,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1598,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1402,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1494,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2082,E_F_Julie_Walters.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1406,E_M_Jimmy_Carr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1494,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1898,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1874,E_F_Sarah_Millican.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1351,E_F_Dawn_Roma_French.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1840,E_M_Ewan_McGregor.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
2233,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
1362,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6280bf67a185ccdf2af50e2b,"07/06/2022, 17:45:35"
