RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3139,P_M_david_camer.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2727,E_M_Michael_McIntyr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2863,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3603,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3272,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4327,E_F_Julie_Walters.png,E_F_Sarah_Millican.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2662,E_F_Sarah_Millican.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3931,E_M_Jimmy_Carr.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2782,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2464,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2901,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2165,E_M_Michael_McIntyr.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2142,P_M_Michael_Gove.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4155,E_F_Dawn_Roma_French.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4287,E_M_Ewan_McGregor.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2665,E_M_Ewan_McGregor.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2305,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2574,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2725,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2959,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2285,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3691,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2871,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3531,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2415,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3401,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
9404,E_M_Russell_Howard.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
18064,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
6318,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3128,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
1875,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2099,E_F_Jennifer_Saunders.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3449,E_M_Peter_Kay.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4717,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
7111,P_M_Gordon_Brown.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
5653,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2909,E_M_Russell_Howard.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2526,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4053,P_M_Gordon_Brown.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3523,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2251,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2733,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3168,E_M_Simon_Pegg.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
4129,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
8850,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
5034,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
2045,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
3521,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,62a25979395b31ea9c61bcb2,"07/06/2022, 17:20:19"
