RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3276,P_F_Theresa_May.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4353,E_F_Dawn_Roma_French.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2809,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2334,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4734,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3313,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4679,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2367,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2758,P_M_Sajid_Javid.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,611e8d845591266e61439488,"07/06/2022, 17:14:40"
5055,E_M_Peter_Kay.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4152,P_M_Gordon_Brown.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2469,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2745,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,611e8d845591266e61439488,"07/06/2022, 17:14:40"
4401,P_M_keir_starmer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3130,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3772,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,611e8d845591266e61439488,"07/06/2022, 17:14:40"
2855,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,611e8d845591266e61439488,"07/06/2022, 17:14:40"
3553,E_M_Ewan_McGregor.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,611e8d845591266e61439488,"07/06/2022, 17:14:40"
