RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
5759,E_F_Sarah_Millican.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
4990,E_M_Simon_Pegg.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2249,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2504,E_M_Michael_McIntyr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3241,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2544,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2609,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2084,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
7461,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2557,P_M_jeremy_corbyn.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
6089,E_M_Jimmy_Carr.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
6447,E_F_Sarah_Millican.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
4660,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2059,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3384,E_F_Jennifer_Saunders.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2208,P_M_Michael_Gove.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3581,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2135,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1932,E_F_Sarah_Millican.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2827,E_F_Sarah_Millican.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
6047,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2485,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
5558,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3684,E_M_Simon_Pegg.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3777,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2250,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3068,E_M_Russell_Howard.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3117,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2342,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3629,E_F_Sarah_Millican.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2227,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1726,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2670,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3712,E_F_Jennifer_Saunders.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3534,P_M_david_camer.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2096,E_F_Dawn_Roma_French.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
5408,E_M_Ewan_McGregor.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1873,E_M_Ewan_McGregor.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2508,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2039,P_M_david_camer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2279,E_M_Ewan_McGregor.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1458,E_M_Peter_Kay.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1583,P_M_keir_starmer.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2152,E_F_Julie_Walters.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2974,P_M_Michael_Gove.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2464,E_F_Sarah_Millican.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3214,E_F_Julie_Walters.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1567,E_F_Julie_Walters.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1858,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2123,E_F_Jennifer_Saunders.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1853,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
1702,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
2035,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
4482,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
3594,P_F_nicola_sturge.png,P_M_nigel_farage.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c5da3b159ec1d0001fe5606,"07/06/2022, 17:28:53"
