RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4014,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3483,E_F_Dawn_Roma_French.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2439,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3264,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3825,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
4342,E_F_Dawn_Roma_French.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
24324,P_M_Gordon_Brown.png,P_M_jeremy_corbyn.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
34465,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
7427,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
3595,E_F_Dawn_Roma_French.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
2285,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,56b12c0e9f1826000cbcc76c,"07/06/2022, 17:37:42"
