RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
11111,E_M_Jimmy_Carr.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3087,E_M_Jimmy_Carr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1888,E_M_Jimmy_Carr.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2426,P_F_nicola_sturge.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3208,E_M_Michael_McIntyr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3530,P_M_david_camer.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2257,E_F_Julie_Walters.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2978,E_F_Jennifer_Saunders.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3772,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2787,E_M_Michael_McIntyr.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3464,E_F_Dawn_Roma_French.png,E_F_Julie_Walters.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1880,P_M_nigel_farage.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3236,E_F_Dawn_Roma_French.png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2709,E_F_Julie_Walters.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4322,P_F_nicola_sturge.png,P_F_Theresa_May.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
6626,E_M_Simon_Pegg.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1788,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1704,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3725,E_F_Dawn_Roma_French.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2990,E_M_Jimmy_Carr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1937,E_F_Dawn_Roma_French.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2591,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2524,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
6148,P_M_david_camer.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4403,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2321,P_M_david_camer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2219,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3020,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1811,P_F_nicola_sturge.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1631,P_F_nicola_sturge.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2322,E_F_Julie_Walters.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2160,E_M_Ewan_McGregor.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3616,E_M_Russell_Howard.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1797,E_M_Peter_Kay.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2177,E_M_Ewan_McGregor.png,P_F_nicola_sturge.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
4063,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2022,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1907,P_F_nicola_sturge.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
3777,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2397,E_M_Jimmy_Carr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
2199,E_M_Michael_McIntyr.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
1708,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef0530e6a229555fac1f7c9,"07/06/2022, 17:21:35"
